Phrasen-Frequenz-Report (deterministisch, fabrik/writing/phrase_stats.py)
Episoden ausgewertet: 1, 2, 3, 4, 5, 6, 7, 8

Wiederholte Phrasen (>= 6x über die Staffel):
    21x  "in front of"
    13x  "that's all this is"
    11x  "that's not a"
    11x  "i'm not going"
    10x  "at her desk"
    10x  "a moment longer"
    10x  "i still don't"
     8x  "consult no material transfer"
     8x  "later that same"
     8x  "not yet not"
     8x  "that's all it"
     8x  "cold case unit"
     8x  "i don't even"
     8x  "two years back"
     7x  "in front of her"
     7x  "don't have a name"
     7x  "signed off on"
     7x  "i'm not doing"
     7x  "chain of custody"
     7x  "sits alone with"
     7x  "it that way"
     7x  "i need you"
     6x  "and i still don't know"
     6x  "i'm not going to"
     6x  "don't know what i'm"
     6x  "don't even know"
     6x  "in a private"
     6x  "no no that's"
     6x  "that same night"
     6x  "sits alone at"
     6x  "at his desk"
     6x  "across town in"
     6x  "i just need"
     6x  "not going anywhere"
     6x  "for a moment"
     6x  "thank you for"
     6x  "i don't remember"
     6x  "all i need"
     6x  "across from her"
     6x  "cold case funding"

Style-Einheitston (>= 25x als style/tone/emotion-Wort):
   117x  style "quiet"
   114x  style "herself"
    81x  style "flat"
    70x  style "almost"
    63x  style "low"
    54x  style "careful"
    52x  style "measured"
    52x  style "himself"
    52x  style "barely"
    46x  style "quieter"
    44x  style "controlled"
    41x  style "forcing"
    38x  style "hollow"
    38x  style "tired"
    35x  style "neutral"
    35x  style "steady"
    33x  style "audible"
    33x  style "voice"
    33x  style "soft"
    32x  style "through"
    32x  style "half"
    30x  style "clipped"
    30x  style "off"
    30x  style "gentle"
    29x  style "calm"
    29x  style "trying"
    29x  style "guarded"
    28x  style "reading"
    28x  style "testing"
    28x  style "cold"
    26x  style "even"
    26x  style "shaken"
    26x  style "unsteady"
    26x  style "working"
    26x  style "warm"
    26x  style "catching"
    25x  style "bitter"
    25x  style "something"
    25x  style "back"
    25x  style "resigned"
